0.0,[0.0059458216128405175,-2.0840178175755377,-0.10686354319962751,-0.5577855214748221,1.8949559635724913]
113.0,[-0.0012098174314208638,0.0,-0.0005667762555579733,0.08027238133460438,0.0]
114.0,[-0.0018597271870627687,0.0,-0.0007569293340263055,0.10511674493803486,0.0]
115.0,[-0.001857832406434075,0.0,-0.0007564082693534147,0.10502295329691452,0.0]
116.0,[-0.0018597271870627687,0.0,-0.0007572135511206095,0.10512621884117833,0.0]
117.0,[-0.0018606745773771154,0.0,-0.0007572253934995388,0.10512621884117833,0.0]
118.0,[-0.0007067531745027129,0.0,-0.00037294019724261795,0.05399935313713891,0.0]
119.0,[-0.0012107648217352105,0.0,-0.0005661722942325772,0.08023922267360224,0.0]
120.0,[-0.001854042845176688,0.0,-0.0007552950857340572,0.10490642428824987,0.0]
121.0,[-0.0012069752604778234,0.0,-0.0005659354466539905,0.0801615366678258,0.0]
122.0,[-0.001208870041106517,0.0,-0.0005664801960847399,0.08025532830894613,0.0]
123.0,[-0.0012069752604778234,0.0,-0.0005656630719386158,0.08014637842279625,0.0]
124.0,[-0.00120792265079217,0.0,-0.0005656630719386158,0.08014543103248191,0.0]
125.0,[-0.0007039110035596725,0.0,-0.0003718151712443311,0.05385913937061559,0.0]
126.0,[-0.0007020162229309789,0.0,-0.0003715427965289564,0.05383734939338561,0.0]
127.0,[-0.0012012909185917426,0.0,-0.0005645262035613996,0.08001658594973074,0.0]
128.0,[-0.0012069752604778234,0.0,-0.000564786735897845,0.08002984941413159,0.0]
129.0,[-0.00120792265079217,0.0,-0.0005656393871807571,0.08014258886153887,0.0]
130.0,[-0.001857832406434075,0.0,-0.0007561122098801814,0.10501158461314236,0.0]
131.0,[-0.0018568850161197283,0.0,-0.0007563964269744854,0.10502200590660019,0.0]
132.0,[-0.001208870041106517,0.0,-0.0005667762555579733,0.08027238133460438,0.0]
133.0,[-0.0012098174314208638,0.0,-0.0005664920384636692,0.08025627569926048,0.0]
134.0,[-0.00120792265079217,0.0,-0.0005656630719386158,0.08014637842279625,0.0]
135.0,[-0.00120792265079217,0.0,-0.0005656512295596865,0.08014448364216756,0.0]
136.0,[-0.001857832406434075,0.0,-0.0007561240522591106,0.10501158461314236,0.0]
137.0,[-0.0012069752604778234,0.0,-0.0005659354466539905,0.08016248405814015,0.0]
138.0,[-0.000705805784188366,0.0,-0.00037264413776938454,0.053975668379280244,0.0]
139.0,[-0.0018559376258053815,0.0,-0.0007558398351648066,0.1050021107099989,0.0]
140.0,[-0.0018549902354910346,0.0,-0.0007555674604494319,0.10491589819139334,0.0]
141.0,[-0.001208870041106517,0.0,-0.0005667644131790439,0.08027143394429002,0.0]
142.0,[-0.0012107648217352105,0.0,-0.0005664801960847399,0.08025532830894613,0.0]
143.0,[-0.0012069752604778234,0.0,-0.0005656630719386158,0.08014637842279625,0.0]
144.0,[-0.00120792265079217,0.0,-0.0005656512295596865,0.08014448364216756,0.0]
145.0,[-0.00120792265079217,0.0,-0.0005656630719386158,0.08014543103248191,0.0]
146.0,[-0.0012069752604778234,0.0,-0.0005656393871807571,0.08014543103248191,0.0]
147.0,[-0.00120792265079217,0.0,-0.0005656393871807571,0.08014543103248191,0.0]
148.0,[-0.00120792265079217,0.0,-0.0005656512295596865,0.08014448364216756,0.0]
149.0,[-0.0012069752604778234,0.0,-0.0005656393871807571,0.08014543103248191,0.0]
150.0,[-0.00120792265079217,0.0,-0.0005656512295596865,0.08014543103248191,0.0]
151.0,[-0.00120792265079217,0.0,-0.0005656512295596865,0.08014543103248191,0.0]
152.0,[-0.0012069752604778234,0.0,-0.0005656393871807571,0.08014543103248191,0.0]
153.0,[-0.0012069752604778234,0.0,-0.0005656393871807571,0.08014543103248191,0.0]
154.0,[-0.00120792265079217,0.0,-0.0005656393871807571,0.08014543103248191,0.0]
155.0,[-0.00120792265079217,0.0,-0.0005656512295596865,0.08014543103248191,0.0]
156.0,[-0.00120792265079217,0.0,-0.0005656512295596865,0.08014448364216756,0.0]
157.0,[-0.00120792265079217,0.0,-0.0005656512295596865,0.08014637842279625,0.0]
158.0,[-0.00120792265079217,0.0,-0.0005656512295596865,0.08014543103248191,0.0]
159.0,[-0.00120792265079217,0.0,-0.0005656393871807571,0.08014448364216756,0.0]
160.0,[-0.00120792265079217,0.0,-0.0005656512295596865,0.08014448364216756,0.0]
161.0,[-0.0007048583938740193,0.0,-0.0003718151712443311,0.05385913937061559,0.0]
162.0,[-0.001204133089534783,0.0,-0.0005653906972232411,0.08013122017776671,0.0]
163.0,[-0.0012060278701634766,0.0,-0.000564786735897845,0.08003079680444594,0.0]
164.0,[-0.0007029636132453256,0.0,-0.0003718151712443311,0.05385819198030124,0.0]
165.0,[-0.0018559376258053815,0.0,-0.0007558279927858773,0.1050002159293702,0.0]
